,actual_label,prediction_label
1599,tech,tech
2034,politics,politics
196,entertainment,entertainment
1424,sport,sport
1116,business,business
408,politics,politics
1062,tech,politics
1923,business,business
1330,business,business
258,sport,sport
978,politics,politics
1235,business,business
1043,tech,tech
1465,politics,politics
1723,tech,tech
281,sport,sport
1015,sport,sport
1594,politics,politics
1745,sport,sport
1713,business,business
708,business,business
1359,politics,politics
2032,tech,tech
2102,tech,tech
632,tech,tech
1185,tech,tech
1428,sport,sport
1647,tech,tech
1979,business,business
1890,sport,sport
2203,politics,politics
799,entertainment,entertainment
919,politics,politics
1505,business,business
347,business,business
879,business,business
1421,sport,sport
1839,entertainment,entertainment
357,business,business
1735,politics,politics
1914,politics,politics
532,sport,sport
796,tech,tech
637,tech,tech
1669,politics,politics
797,tech,tech
610,tech,tech
1212,politics,politics
2123,entertainment,entertainment
1778,business,business
2204,tech,business
220,entertainment,entertainment
1789,entertainment,entertainment
390,entertainment,entertainment
1123,business,business
950,politics,politics
1017,sport,sport
1786,business,business
130,tech,tech
1701,sport,sport
633,entertainment,entertainment
1696,business,business
1880,tech,tech
903,tech,tech
367,sport,sport
2055,business,business
1220,sport,sport
2216,entertainment,entertainment
2124,business,business
1463,tech,tech
1404,politics,politics
1257,politics,politics
116,entertainment,entertainment
712,entertainment,entertainment
274,sport,sport
752,business,business
1903,entertainment,entertainment
1775,tech,tech
2018,politics,politics
1300,politics,politics
266,sport,sport
1250,business,business
1726,tech,tech
1927,sport,sport
585,tech,sport
1265,tech,tech
2207,tech,tech
602,business,politics
1959,business,business
11,business,business
202,sport,sport
664,entertainment,entertainment
1509,politics,politics
1435,business,politics
1048,entertainment,entertainment
1214,tech,tech
341,entertainment,entertainment
1477,business,business
1342,entertainment,entertainment
145,business,business
940,sport,sport
1403,business,business
162,politics,politics
1283,sport,sport
1764,tech,tech
1718,entertainment,entertainment
1781,tech,tech
1083,sport,sport
1304,business,business
2142,sport,sport
58,sport,sport
1173,business,business
1800,tech,tech
225,entertainment,entertainment
630,tech,tech
2070,business,business
1485,politics,politics
1356,sport,sport
981,politics,politics
1603,tech,tech
1064,entertainment,entertainment
2067,business,business
