,actual_label,prediction_label
1462,sport,sport
1742,tech,tech
738,tech,tech
271,tech,tech
831,politics,politics
972,tech,tech
1995,sport,sport
1019,sport,sport
636,politics,politics
933,entertainment,entertainment
1712,politics,politics
2087,tech,tech
181,tech,tech
1134,tech,tech
505,sport,sport
665,business,business
596,sport,sport
1382,tech,tech
534,politics,politics
1084,business,business
432,sport,sport
1520,sport,sport
1258,business,business
1159,tech,tech
979,politics,politics
1140,entertainment,entertainment
130,tech,tech
2020,business,business
2010,tech,tech
747,business,business
1749,sport,sport
2187,sport,sport
772,entertainment,sport
1225,business,business
941,tech,tech
136,entertainment,entertainment
2162,tech,tech
782,entertainment,entertainment
11,business,business
848,tech,tech
333,business,business
1887,politics,politics
312,entertainment,entertainment
1020,sport,sport
1549,tech,tech
1996,sport,sport
184,tech,tech
154,tech,tech
1664,sport,sport
1070,sport,sport
41,sport,sport
1491,politics,politics
1920,sport,sport
987,entertainment,entertainment
572,entertainment,entertainment
1610,entertainment,entertainment
647,politics,politics
700,politics,politics
1346,politics,politics
1543,politics,politics
1681,sport,sport
749,sport,sport
629,sport,sport
2061,politics,politics
992,tech,tech
1351,entertainment,business
730,tech,tech
608,politics,politics
947,entertainment,entertainment
1761,sport,sport
894,politics,politics
902,tech,tech
755,business,business
1968,business,business
621,politics,politics
1040,politics,politics
1660,politics,politics
1751,entertainment,entertainment
1098,entertainment,entertainment
951,politics,politics
2036,entertainment,entertainment
1442,entertainment,entertainment
14,sport,sport
94,politics,politics
939,entertainment,entertainment
280,entertainment,entertainment
187,sport,sport
825,sport,sport
233,entertainment,entertainment
2039,entertainment,entertainment
43,sport,sport
1236,business,business
409,business,business
1203,tech,tech
1748,business,business
1061,entertainment,entertainment
1716,politics,politics
1964,sport,sport
1248,sport,sport
2131,business,business
2175,politics,politics
503,sport,sport
813,business,business
1039,entertainment,entertainment
1007,politics,politics
2222,entertainment,entertainment
1456,business,business
1899,entertainment,entertainment
600,entertainment,entertainment
952,sport,sport
2144,entertainment,entertainment
1534,entertainment,entertainment
1990,politics,politics
162,politics,politics
1602,entertainment,sport
713,entertainment,sport
395,sport,sport
1542,politics,politics
401,tech,tech
838,sport,sport
132,sport,sport
2191,business,business
1694,politics,politics
622,politics,politics
1900,sport,sport
1938,politics,politics
1885,entertainment,entertainment
1569,politics,politics
888,entertainment,entertainment
1765,sport,sport
1525,politics,politics
1313,entertainment,entertainment
1477,business,business
834,entertainment,entertainment
68,tech,tech
1449,sport,sport
72,politics,politics
1271,business,business
48,politics,politics
741,business,business
1451,business,business
1479,tech,tech
390,entertainment,entertainment
491,entertainment,entertainment
1647,tech,tech
1410,entertainment,tech
2043,tech,tech
1565,sport,business
325,entertainment,entertainment
593,business,business
1750,sport,sport
42,business,business
658,sport,sport
966,business,business
638,politics,politics
13,politics,politics
1312,politics,politics
1066,entertainment,entertainment
1951,business,business
1986,politics,politics
251,sport,sport
2085,tech,tech
258,sport,sport
2026,politics,business
35,politics,politics
2125,politics,politics
2142,sport,sport
876,politics,politics
2194,business,business
249,entertainment,entertainment
1320,entertainment,entertainment
836,business,business
1652,entertainment,entertainment
1595,entertainment,sport
1659,entertainment,entertainment
1613,sport,sport
1232,sport,sport
1369,sport,sport
2033,business,business
282,tech,tech
2143,tech,tech
350,entertainment,entertainment
1321,business,business
1208,politics,politics
1057,business,business
1277,sport,sport
1850,politics,politics
24,tech,tech
1333,tech,tech
1030,politics,politics
852,entertainment,entertainment
1419,tech,tech
1353,politics,politics
1408,tech,tech
1121,tech,tech
1496,sport,sport
815,tech,tech
1671,tech,tech
1106,entertainment,entertainment
1650,politics,politics
191,business,business
1641,sport,sport
737,business,business
918,tech,tech
944,sport,sport
1389,politics,politics
1813,business,business
1701,sport,sport
457,tech,tech
52,business,business
1457,sport,sport
198,tech,tech
2112,business,business
1278,entertainment,entertainment
833,sport,sport
1738,business,business
1459,entertainment,entertainment
617,tech,tech
1627,politics,politics
183,tech,tech
546,sport,sport
61,sport,sport
785,business,business
1269,sport,sport
1833,business,business
1157,politics,politics
1715,sport,sport
1043,tech,tech
758,sport,sport
1288,politics,politics
1259,politics,politics
566,entertainment,entertainment
661,entertainment,entertainment
1401,business,business
1274,business,business
